manufacturer,antennaModel,standardModel,diameter_ft,diameter_m,gain_dBi,notes
MARK ANTENNA PROD,MHP-60A72 RF,MHP60A72RF,6,1.83,38.8,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA PROD,MHP-60A96D,MHP60A96D,8,2.44,41.3,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA,MHP-60A96D (LF),MHP60A96DLF,8,2.44,41.3,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark Antenna,MHP-60A96D LF,MHP60A96DLF,8,2.44,41.3,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA PROD,MHP-60A96D (RF),MHP60A96DRF,8,2.44,41.3,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA,MHP-60A96D RF,MHP60A96DRF,8,2.44,41.3,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA PRODUCTS,MHP60A96 LF,MHP60A96LF,8,2.44,41.3,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
,MHP-60A96 LF,MHP60A96LF,8,2.44,41.3,https://www.datasheetarchive.com/pdf/download.php?id=0480ca47c46d7b83326b2d8bd5ddfa66595fab&type=O&term=MHP-60A72DL
Mark Antenna,MHP-60A96 LF,MHP60A96LF,8,2.44,41.3,https://www.datasheetarchive.com/pdf/download.php?id=0480ca47c46d7b83326b2d8bd5ddfa66595fab&type=O&term=MHP-60A72DL
MARK ANTENNA PROD,MHP-60A96 RF,MHP60A96RF,8,2.44,41.3,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark Antenna Products,MHP-60WA96,MHP60WA96,8,2.44,41.3,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark RSI,MHP-65A96DL,MHP65A96DL,8,2.44,42.4,Comsearch's Frequency Coordination Database
"Cambium Networks, LTD",N060080L006A,N060080L006A,6,1.83,39.5,https://www.dlmanuals.com/manual/cambium-ptp-800-series/user-manual/173
"Cambium Networks, LTD",N060082D128A,N060082D128A,3,0.91,33,https://www.ispsupplies.com/core/media/media.nl?id=7521917&c=393682&h=WmzK6TO7Dv_Trk6A4cSGbqKajbuyl2_8aOz1GrrL5w5AxAeo
"Cambium Networks, LTD",N060082D129A,N060082D129A,4,1.22,35,https://www.ispsupplies.com/core/media/media.nl?id=7521920&c=393682&h=2zo9IEM_D7pfnqckKLVyf1xzvAvKL6U1NNzeXoop6HCiEHyy
CAMBIUM NETWORKS,N060082D132A,N060082D132A,6,1.83,39,https://www.ispsupplies.ca/core/media/media.nl?id=5506200&c=393682&h=BctKf_IGanF6Pzw7AhFva8pUq8JkqNdydudyQ6O-85F-yHHV
CAMBIUM NETWORKS,N060082D151A,N060082D151A,3,0.91,33.3,https://www.winncom.com/pdf/Cambium_N060082D151A/Cambium_N060082D151A.PDF
CAMBIUM NETWORKS,N060082D152A,N060082D152A,4,1.22,36.5,https://www.winncom.com/en/products/N060082D152A
"Cambium Networks, LTD",N060082D153A,N060082D153A,4,1.22,39.3,https://www.winncom.com/en/products/N060082D152A
Mark Antennas,P060A72D,P060A72D,6,1.83,38.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
ANDREW,P10-186,P10186,10,3.05,44,Comsearch's Frequency Coordination Database
COMMSCOPE,P10-186,P10186,10,3.05,44,Comsearch's Frequency Coordination Database
ANDREW,P10-186A,P10186A,10,3.05,44,Comsearch's Frequency Coordination Database
ANDREW,P10-59,P1059,10,3.05,43,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
COMMSCOPE,P10-59C,P1059C,10,3.05,43.3,Comsearch's Frequency Coordination Database
ANDREW,P10-59D,P1059D,10,3.05,43.3,Comsearch's Frequency Coordination Database
COMMSCOPE,P10-59D,P1059D,10,3.05,43.3,Comsearch's Frequency Coordination Database
ANDREW,P10-65,P1065,10,3.05,43.9,Comsearch's Frequency Coordination Database
COMMSCOPE,P10-65,P1065,10,3.05,43.9,Comsearch's Frequency Coordination Database
COMMSCOPE,p10-65,P1065,10,3.05,43.9,Comsearch's Frequency Coordination Database
RFS,P10-65A,P1065A,10,3.05,43.9,Comsearch's Frequency Coordination Database
ANDREW,P10-65C,P1065C,10,3.05,43.9,Comsearch's Frequency Coordination Database
COMMSCOPE,P10-65C,P1065C,10,3.05,43.9,Comsearch's Frequency Coordination Database
COMMSCOPE,p10-65c,P1065C,10,3.05,43.9,Comsearch's Frequency Coordination Database
ANDREW,P10-65D,P1065D,10,3.05,43.9,Comsearch's Frequency Coordination Database
COMMSCOPE,P10-65D,P1065D,10,3.05,43.9,Comsearch's Frequency Coordination Database
RFS,P10-65D,P1065D,10,3.05,43.9,Comsearch's Frequency Coordination Database
ANDREW,P12-59E,P1259E,12,3.66,44.6,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
COMMSCOPE,P12-65,P1265,12,3.66,45.8,Comsearch's Frequency Coordination Database
ANDREW,P12-65D,P1265D,12,3.66,45.6,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
ANDREW,P12-65E,P1265E,12,3.66,45.6,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
COMMSCOPE,P12-65E,P1265E,12,3.66,45.6,Comsearch's Frequency Coordination Database
COMMSCOPE,P4-65,P465,4,1.22,36.2,Comsearch's Frequency Coordination Database
COMMSCOPE,P4-65C,P465C,4,1.22,36.3,Comsearch's Frequency Coordination Database
COMMSCOPE,P4-65D,P465D,4,1.22,36.3,Comsearch's Frequency Coordination Database
MARK ANTENNA,P-6072,P6072,6,1.83,38.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark Antenna,P-60A120D LF,P60A120DLF,10,3.05,43.3,https://www.datasheetarchive.com/pdf/download.php?id=0480ca47c46d7b83326b2d8bd5ddfa66595fab&type=O&term=MHP-60A72DL
MARK ANTENNA PRODS,P-60A120D* LF,P60A120DLF,10,3.05,43.3,https://www.datasheetarchive.com/pdf/download.php?id=0480ca47c46d7b83326b2d8bd5ddfa66595fab&type=O&term=MHP-60A72DL
MARK ANTENNA,P-60A120D RF,P60A120DRF,10,3.05,43.3,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA PRODS,P-60A120L,P60A120L,10,3.05,43.3,https://www.datasheetarchive.com/pdf/download.php?id=0480ca47c46d7b83326b2d8bd5ddfa66595fab&type=O&term=MHP-60A72DL
Mark Antenna,P-60A120 LF,P60A120LF,10,3.05,43.3,https://www.datasheetarchive.com/pdf/download.php?id=0480ca47c46d7b83326b2d8bd5ddfa66595fab&type=O&term=MHP-60A72DL
Mark,P-60A144 RF,P60A144RF,12,3.66,45,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark Antennas,P-60A72D,P60A72D,6,1.83,38.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA,P-60A72D LF,P60A72DLF,6,1.83,38.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNAS,P-60A72D RF,P60A72DRF,6,1.83,38.7,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA PROD,P-60A72 (LF),P60A72LF,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA PRODUCTS,P-60A72 LF,P60A72LF,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark Antenna Prod,P-60A72(LF),P60A72LF,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark Antenna Prod,p-60A72(LF),P60A72LF,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA PRODUCTS,P60A72 RF,P60A72RF,6,1.83,38.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA PRODUCTS,P-60A72 RF,P60A72RF,6,1.83,38.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark Antennas,P-60A72RF,P60A72RF,6,1.83,38.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA,P-60A96,P60A96,8,2.44,41.5,https://www.datasheetarchive.com/pdf/download.php?id=0480ca47c46d7b83326b2d8bd5ddfa66595fab&type=O&term=MHP-60A72DL
Mark Antenna,P-60A96D,P60A96D,8,2.44,41.5,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark Antenna,P-60A96 (LF),P60A96LF,8,2.44,41.5,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark Antenna,P-60A96 LF,P60A96LF,8,2.44,41.5,https://www.datasheetarchive.com/pdf/download.php?id=0480ca47c46d7b83326b2d8bd5ddfa66595fab&type=O&term=MHP-60A72DL
MARK ANTENNA,P-60A96LF,P60A96LF,8,2.44,41.5,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA PRODUCTS,P 60A96 RF,P60A96RF,8,2.44,41.5,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark Antenna Products,P-60A96 RF,P60A96RF,8,2.44,41.5,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA,P-60A96RF,P60A96RF,8,2.44,41.5,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
ANDREW,P6-25D,P625D,6,1.83,,Model does not belong in this band.
Mark,P-65120W,P65120W,10,3.05,44,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA PROD,P 6572,P6572,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark Antenna,P-6572L,P6572L,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA PROD,P 6572W,P6572W,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA,P-6572W,P6572W,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
ANDREW,P6-57W,P657W,6,1.83,38.5,Comsearch's Frequency Coordination Database
COMMSCOPE,P6-57W,P657W,6,1.83,38.5,Comsearch's Frequency Coordination Database
ANDREW,P6-59,P659,6,1.83,38.7,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
Mark Antennas,P-6596W,P6596W,8,2.44,42.4,https://www.datasheetarchive.com/pdf/download.php?id=0480ca47c46d7b83326b2d8bd5ddfa66595fab&type=O&term=MHP-60A72DL
MARK ANTENNA PRODUCT,P-6596WD,P6596WD,8,2.44,42.5,https://its.ntia.gov/umbraco/surface/download/publication?reportNumber=90-267_ocr.pdf
MARK ANTENNA PRODUCT,P-6596-WD,P6596WD,8,2.44,42.5,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
COMMSCOPE,P6-59C,P659C,6,1.83,38.9,Comsearch's Frequency Coordination Database
ANDREW,P6 59D,P659D,6,1.83,38.9,Comsearch's Frequency Coordination Database
ANDREW,P6-59D,P659D,6,1.83,38.9,Comsearch's Frequency Coordination Database
COMMSCOPE,P6-59D,P659D,6,1.83,38.9,Comsearch's Frequency Coordination Database
Mark,P65A120 LF,P65A120LF,10,3.05,44,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA,P-65A120 LF,P65A120LF,10,3.05,44,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark Antenna,P-65A120LF,P65A120LF,10,3.05,44,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA,P-65A144,P65A144,12,3.66,45.8,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK,P-65A48D,P65A48D,4,1.22,36.3,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNAS,P 65A72,P65A72,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA,P-65A72,P65A72,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA,P-65A72D LF,P65A72DLF,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA,P-65A72D RF,P65A72DRF,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA PRODUCT,P-65A72L-2,P65A72L2,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=b5514b47c46d7b83326b2d8bd5ddfa66595fab&type=O&term=P-65A72
Mark,P- 65A72 LF,P65A72LF,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA,P-65A72 LF,P65A72LF,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA PROD,P-65A72LF,P65A72LF,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark Antenna Products,P-65A72 (RF),P65A72RF,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA PRODUCT,P-65A72 RF,P65A72RF,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=b5514b47c46d7b83326b2d8bd5ddfa66595fab&type=O&term=P-65A72
Mark Antenna Products,P-65A72(RF),P65A72RF,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark Antenna,P-65A72RF,P65A72RF,6,1.83,39.9,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA PRODUCTS,P 65A96,P65A96,8,2.44,42.4,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA,P65A96,P65A96,8,2.44,42.4,Comsearch's Frequency Coordination Database
MARK ANTENNAS,P-65A96D,P65A96D,8,2.44,42.4,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA,P-65A96D RF,P65A96DRF,8,2.44,42.4,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA,P-65A96DRF,P65A96DRF,8,2.44,42.4,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA PROD,P-65A96 L,P65A96L,6,1.83,42.5,https://its.ntia.gov/umbraco/surface/download/publication?reportNumber=90-267_ocr.pdf
MARK ANTENNA PRODUCTS,P65A96L-2,P65A96L2,8,2.44,42.4,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark Antenna,P-65A96L-2,P65A96L2,8,2.44,42.4,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA,P-65A96 LF,P65A96LF,8,2.44,42.4,https://www.datasheetarchive.com/pdf/download.php?id=0480ca47c46d7b83326b2d8bd5ddfa66595fab&type=O&term=MHP-60A72DL
MARK ANTENNA,P-65A96R,P65A96R,8,2.44,42.4,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark Antennas,P65A96 RF,P65A96RF,8,2.44,42.4,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
MARK ANTENNA,P-65A96 RF,P65A96RF,8,2.44,42.4,Comsearch's Frequency Coordination Database
MARK ANTENNA,P65A96RF,P65A96RF,8,2.44,42.4,Comsearch's Frequency Coordination Database
Mark Antenna,P-65A96RF,P65A96RF,8,2.44,42.4,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
Mark Antenna,P-65AD144V MN RF,P65AD144VMNRF,12,3.66,45.8,https://www.datasheetarchive.com/pdf/download.php?id=30859147c46d7b83326b2d8bd5ddfa66595fab&type=O&term=PT-65A96
ANDREW,P6-65,P665,6,1.83,39.5,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
COMMSCOPE,P6-65,P665,6,1.83,39.5,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
ANDREW,P6-65A,P665A,6,1.83,39.5,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
ANDREW,P6-65C,P665C,6,1.83,39.5,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
COMMSCOPE,P6-65C,P665C,6,1.83,39.5,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
ANDREW,P6 65D,P665D,6,1.83,39.5,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
ANDREW,P6 65d,P665D,6,1.83,39.5,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
ANDREW,P6.65D,P665D,6,1.83,39.5,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
ANDREW,P6-65D,P665D,6,1.83,39.5,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
COMMSCOPE,P6-65D,P665D,6,1.83,39.5,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
ANDREW,p6-65d,P665D,6,1.83,39.5,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
ANDREW,P6-65E,P665E,6,1.83,39.5,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
COMMSCOPE,P6-65E,P665E,6,1.83,39.5,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
RFS,P6-65E,P665E,6,1.83,39.5,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
COMMSCOPE,p6-65e,P665E,6,1.83,39.5,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
COMMSCOPE,P6-65e,P665E,6,1.83,39.5,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
ANDREW,P6-65J,P665J,6,1.83,39.5,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
ANDREW,P8-186,P8186,8,2.44,42,https://www.digchip.com/datasheets/parts/datasheet/3751/P8-186-pdf.php
COMMSCOPE,P8-186,P8186,8,2.44,42,Comsearch's Frequency Coordination Database
ANDREW,P8-186 2GHZ-V,P81862GHZV,8,2.44,42,https://www.digchip.com/datasheets/parts/datasheet/3751/P8-186-pdf.php
ANDREW,P8-186 2GHZ-V,P81862GHZV,8,2.44,42,https://www.digchip.com/datasheets/parts/datasheet/3751/P8-186-pdf.php
COMMSCOPE,P8-57W,P857W,8,2.44,41.2,Comsearch's Frequency Coordination Database
COMMSCOPE,P8-59A,P859A,8,2.44,41.5,Comsearch's Frequency Coordination Database
COMMSCOPE,P8-59C,P859C,8,2.44,41.5,Comsearch's Frequency Coordination Database
ANDREW,P8-59D,P859D,8,2.44,41.5,Comsearch's Frequency Coordination Database
COMMSCOPE,P8-59D,P859D,8,2.44,41.5,Comsearch's Frequency Coordination Database
COMMSCOPE,P8?65,P865,8,2.44,42,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
ANDREW,P8-65,P865,8,2.44,42,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
COMMSCOPE,P8-65,P865,8,2.44,42,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
ANDREW,P8-65A,P865A,8,2.44,42,https://worldradiohistory.com/Archive-Catalogs/Miscellaneous-Manufacturers/Andrew-Catalog-26-1969.pdf
ANDREW,P8-65C,P865C,8,2.44,42.3,Comsearch's Frequency Coordination Database
COMMSCOPE,P8-65C,P865C,8,2.44,42.3,Comsearch's Frequency Coordination Database
ANDREW,P8-65D,P865D,8,2.44,42.3,Comsearch's Frequency Coordination Database
COMMSCOPE,P8-65D,P865D,8,2.44,42.3,Comsearch's Frequency Coordination Database
ANDREW,P8-65d,P865D,8,2.44,42.3,Comsearch's Frequency Coordination Database
ANDREW,P8-65-D,P865D,8,2.44,42.3,Comsearch's Frequency Coordination Database
COMMSCOPE,P8-65-D,P865D,8,2.44,42.3,Comsearch's Frequency Coordination Database
ANDREW,P8-65D A64130,P865DA64130,8,2.44,42.3,Comsearch's Frequency Coordination Database
ANDREW,P8-65 or similar,P865ORSIMILAR,8,2.44,42.3,Comsearch's Frequency Coordination Database
RFS/Cablewave,PA1059,PA1059,10,3.05,43.4,Comsearch's Frequency Coordination Database
RFS,PA10-59,PA1059,10,3.05,43.4,Comsearch's Frequency Coordination Database
CABLEWAVE SYSTEMS,PA10-59A,PA1059A,10,3.05,43.4,Comsearch's Frequency Coordination Database
RFS,PA10-59A,PA1059A,10,3.05,43.4,Comsearch's Frequency Coordination Database
CABLEWAVE SYSTEMS,PA10-59AC,PA1059AC,10,3.05,43.4,Comsearch's Frequency Coordination Database
ANDREW,PA10-65,PA1065,10,3.05,44.1,Comsearch's Frequency Coordination Database
CABLEWAVE SYSTEMS,PA10-65,PA1065,10,3.05,44.1,Comsearch's Frequency Coordination Database
RFS,PA10-65,PA1065,10,3.05,44.1,Comsearch's Frequency Coordination Database
RFS,PA10-65A,PA1065A,10,3.05,44.1,Comsearch's Frequency Coordination Database
CABLEWAVE SYSTEMS,PA10-65AC,PA1065AC,10,3.05,44.1,Comsearch's Frequency Coordination Database
ANDREW,PA10-65D,PA1065D,10,3.05,44.1,Comsearch's Frequency Coordination Database
CABLEWAVE SYSTEMS,PA10-65 (FCC S65000),PA1065FCCS65000,10,3.05,44.1,Comsearch's Frequency Coordination Database
RFS,PA10-W57A,PA10W57A,10,3.05,43.5,Comsearch's Frequency Coordination Database
RFS,PA10-W57A (P),PA10W57AP,10,3.05,43.5,Comsearch's Frequency Coordination Database
RFS/Cablewave,PA10W59,PA10W59,10,3.05,43.6,https://www.rfsworld.com/userfiles/pdf/287a.pdf
RFS,PA10-W59A,PA10W59A,10,3.05,43.6,Comsearch's Frequency Coordination Database
RFS/Cablewave,PA1259,PA1259,12,3.66,45.1,Comsearch's Frequency Coordination Database
CABLEWAVE SYSTEMS,PA12-59,PA1259,12,3.66,45.1,Comsearch's Frequency Coordination Database
RFS,PA12-65,PA1265,12,3.66,45.8,Comsearch's Frequency Coordination Database
CABLEWAVE SYSTEMS,PA12-65A,PA1265A,12,3.66,45.8,Comsearch's Frequency Coordination Database
CABLEWAVE SYSTEMS,PA12-65AC,PA1265AC,12,3.66,45.8,Comsearch's Frequency Coordination Database
RFS/Cablewave,PA12W59,PA12W59,12,3.66,45.2,https://www.rfsworld.com/userfiles/pdf/287a.pdf
RFS,PA12-W59A,PA12W59A,12,3.66,45.2,Comsearch's Frequency Coordination Database
RFS,PA4-W57A,PA4W57A,4,1.22,35.5,Comsearch's Frequency Coordination Database
CABLEWAVE SYSTEMS,PA6-54B,PA654B,6,1.83,,Indeterminate. Band designator 54 has multiple options. 
RFS/Cablewave,PA659,PA659,6,1.83,39.2,https://www.rfsworld.com/userfiles/pdf/287a.pdf
CABLEWAVE SYSTEMS,PA6-59,PA659,6,1.83,39.2,https://www.rfsworld.com/userfiles/pdf/287a.pdf
RFS,PA6-59A,PA659A,6,1.83,39,Comsearch's Frequency Coordination Database
RFS,PA6-59B,PA659B,6,1.83,39,Comsearch's Frequency Coordination Database
ANDREW,PA6-59W,PA659W,6,1.83,39.2,https://www.rfsworld.com/userfiles/pdf/287a.pdf
